s_video_id,e_width,e_height,t_average_bitrate,predicted_vmaf
419.0,1920.0,1080.0,157.0,23.698602403508332
419.0,416.0,234.0,22.0,1.3750422684479884
419.0,1280.0,720.0,75.0,10.825625218764314
419.0,960.0,540.0,46.0,5.784412439072913
419.0,640.0,360.0,22.0,1.7329640877573618
419.0,768.0,432.0,30.0,3.1063712169301296
419.0,416.0,234.0,11.0,0.05542984615134117
419.0,1920.0,1080.0,140.0,20.326832045352063
419.0,1280.0,720.0,66.0,7.697821215081974
419.0,960.0,540.0,40.0,3.025811558855263
419.0,768.0,432.0,27.0,2.1023532658717072
419.0,640.0,360.0,20.0,0.41106285679687765
419.0,416.0,234.0,10.0,-0.010668563734288122
420.0,640.0,360.0,2027.0,77.46755615548334
420.0,1280.0,720.0,6046.0,98.1570514791079
420.0,1920.0,1080.0,11982.0,100.12562297167074
420.0,960.0,540.0,3741.0,92.68433626233968
420.0,768.0,432.0,2602.0,84.96871191400267
420.0,1920.0,1080.0,9473.0,100.44660610219279
420.0,416.0,234.0,1068.0,49.18716113907514
420.0,1280.0,720.0,4521.0,96.6266798191116
420.0,960.0,540.0,2840.0,90.73703435490681
420.0,640.0,360.0,1558.0,74.21722747514511
420.0,768.0,432.0,1984.0,83.23126768867274
420.0,416.0,234.0,827.0,46.33780687879795
420.0,1920.0,1080.0,7417.0,99.71164728308821
420.0,1280.0,720.0,3407.0,94.45347876138169
420.0,960.0,540.0,2174.0,87.64815479180747
420.0,768.0,432.0,1527.0,79.37997157168982
420.0,640.0,360.0,1204.0,70.4900256122711
420.0,416.0,234.0,642.0,41.62096432260816
420.0,1280.0,720.0,3407.0,94.45347876138169
420.0,1920.0,1080.0,7417.0,99.71164728308821
420.0,640.0,360.0,1204.0,70.4900256122711
420.0,960.0,540.0,2174.0,87.64815479180747
420.0,768.0,432.0,1527.0,79.37997157168982
420.0,416.0,234.0,642.0,41.62096432260816
420.0,1920.0,1080.0,5727.0,98.75877986646138
420.0,960.0,540.0,1682.0,82.62713788470164
420.0,1280.0,720.0,2598.0,90.22409023447003
420.0,640.0,360.0,937.0,66.24385018505697
420.0,768.0,432.0,1185.0,74.15543380846745
420.0,416.0,234.0,499.0,38.75798629259514
