,s_video_id,e_crf,e_width,e_height,e_codec_profile,e_codec_level,t_average_bitrate,t_average_vmaf
534,498,50,416,234,main,13,20,4.99712
535,498,50,768,432,main,30,64,6.413599
536,498,55,1920,1080,high,40,402,15.99387
537,498,55,1280,720,main,31,160,8.852105
538,498,55,960,540,main,31,91,6.95236
539,498,55,768,432,main,30,57,6.009835
540,498,55,640,360,main,30,41,5.560681
541,498,55,416,234,main,13,18,4.879989
542,499,18,768,432,main,30,1578,85.003298
543,499,18,960,540,main,31,2328,90.626413
544,499,18,1280,720,main,31,3790,95.635269
545,499,18,640,360,main,30,1180,78.322234
546,499,18,1920,1080,high,40,8738,98.36144
547,499,20,1920,1080,high,40,6477,98.223541
548,499,18,416,234,main,13,595,54.438831
549,499,20,1280,720,main,31,2923,94.308272
550,499,20,960,540,main,31,1788,88.626588
551,499,20,768,432,main,30,1239,82.451221
552,499,20,416,234,main,13,468,51.31875
553,499,22,1920,1080,high,40,4958,97.797565
554,499,20,640,360,main,30,920,75.473249
555,499,22,960,540,main,31,1389,85.881991
556,499,22,640,360,main,30,723,71.884365
557,499,22,1280,720,main,31,2282,92.417973
558,499,22,416,234,main,13,370,47.423844
559,499,22,768,432,main,30,976,79.343814
560,499,24,1920,1080,high,40,4043,96.632141
561,499,24,1280,720,main,31,1790,89.835741
562,499,24,960,540,main,31,1089,82.542355
563,499,24,640,360,main,30,570,67.592233
564,499,24,416,234,main,13,293,42.856933
565,499,24,768,432,main,30,776,75.564795
566,499,26,1920,1080,high,40,2954,94.740151
567,499,26,1280,720,main,31,1421,86.545224
568,499,26,960,540,main,31,860,78.452316
569,499,26,768,432,main,30,620,70.855912
570,499,26,640,360,main,30,453,62.563118
571,499,26,416,234,main,13,234,37.799782
572,499,28,1920,1080,high,40,2337,92.278666
573,499,28,1280,720,main,31,1134,82.243474
574,499,28,640,360,main,30,362,56.875291
575,499,28,960,540,main,31,685,73.365576
576,499,28,768,432,main,30,494,65.241394
577,499,30,1920,1080,high,40,2009,88.949531
578,499,28,416,234,main,13,187,33.133169
579,499,30,1280,720,main,31,913,77.025023
580,499,30,960,540,main,31,548,67.616995
581,499,30,640,360,main,30,289,50.306254
582,499,30,768,432,main,30,396,58.955764
583,499,35,1920,1080,high,40,1189,76.562297
584,499,35,1280,720,main,31,541,60.558821
585,499,30,416,234,main,13,150,27.613238
586,499,35,960,540,main,31,323,50.589989
587,499,35,640,360,main,30,171,34.33513
588,499,35,768,432,main,30,231,41.861252
589,499,40,1920,1080,high,40,693,59.074233
590,499,35,416,234,main,13,88,14.908535
591,499,40,960,540,main,31,194,32.220217
592,499,40,1280,720,main,31,326,42.620914
593,499,40,768,432,main,30,138,25.236202
594,499,40,640,360,main,30,102,17.626362
595,499,40,416,234,main,13,54,3.54939
596,499,45,1920,1080,high,40,446,39.564281
597,499,45,1280,720,main,31,199,25.358671
598,499,45,960,540,main,31,123,17.333568
599,499,45,640,360,main,30,65,6.357301
600,499,45,768,432,main,30,86,11.747542
601,499,45,416,234,main,13,34,0.097732
602,499,50,1920,1080,high,40,275,22.064008
603,499,50,1280,720,main,31,126,10.264247
604,499,50,960,540,main,31,78,5.058428
605,499,50,640,360,main,30,42,0.396382
606,499,50,768,432,main,30,55,2.153121
607,499,50,416,234,main,13,23,0.088017
608,499,55,1920,1080,high,40,246,20.548088
609,499,55,1280,720,main,31,114,7.808726
610,499,55,960,540,main,31,69,3.41108
611,499,55,640,360,main,30,38,0.301706
612,499,55,768,432,main,30,50,1.476799
613,499,55,416,234,main,13,20,0.092834
614,500,18,1280,720,main,31,3622,95.921384
615,500,18,1920,1080,high,40,8374,98.78206
616,500,18,768,432,main,30,1487,85.666548
617,500,18,640,360,main,30,1135,78.846723
618,500,18,960,540,main,31,2259,91.449324
619,500,18,416,234,main,13,573,54.412471
620,500,20,1920,1080,high,40,6525,98.312927
621,500,20,960,540,main,31,1736,89.584091
622,500,20,1280,720,main,31,2774,94.716029
623,500,20,640,360,main,30,882,76.189759
624,500,20,416,234,main,13,447,51.535709
625,500,20,768,432,main,30,1155,83.317739
626,500,22,1280,720,main,31,2153,93.018111
627,500,22,1920,1080,high,40,4993,97.566533
628,500,22,960,540,main,31,1347,87.061332
629,500,22,640,360,main,30,688,72.931481
630,500,22,768,432,main,30,905,80.365954
