Video ID;Bitrate (kbps);Resolution;VMAF (Predicted)
571;560;1280x720;35.270542
571;750;768x432;53.118397
571;1050;960x540;68.26582
571;1750;640x360;76.634674
571;2350;768x432;82.745
571;3000;960x540;88.541985
571;4300;1920x1080;92.54069
571;5800;1920x1080;97.46039
579;235;768x432;34.774387
579;375;640x360;52.716583
579;560;768x432;61.69269
579;750;960x540;69.64782
579;1050;960x540;79.15063
579;1750;960x540;84.70495
579;2350;1280x720;87.82572
579;3000;1920x1080;92.3269
579;4300;1920x1080;93.552086
579;5800;1920x1080;97.55966
587;235;416x234;35.66643
587;375;640x360;54.177994
587;560;768x432;61.83436
587;750;960x540;69.60616
587;1050;960x540;79.46021
587;1750;960x540;84.88092
587;2350;1280x720;87.99222
587;3000;1920x1080;92.29873
587;4300;1920x1080;93.23581
587;5800;1920x1080;97.22277
589;235;768x432;65.82552
589;375;768x432;75.418564
589;560;768x432;78.731094
589;750;960x540;84.63744
589;1050;1920x1080;90.01153
589;1750;960x540;92.20551
589;2350;1920x1080;93.12839
589;3000;1920x1080;95.03416
589;4300;1920x1080;95.19272
589;5800;1920x1080;97.634224
590;235;640x360;62.794357
590;375;768x432;70.65773
590;560;960x540;79.037636
590;750;960x540;81.53295
590;1050;1920x1080;88.901375
590;1750;1920x1080;90.42019
590;2350;1920x1080;91.70321
590;3000;1920x1080;94.13466
590;4300;1920x1080;94.2963
590;5800;1920x1080;97.05729
592;235;416x234;20.27826
592;375;416x234;28.836763
592;560;960x540;38.978943
592;750;768x432;46.277027
592;1050;960x540;57.18366
592;1750;960x540;60.893646
592;2350;1280x720;69.23913
592;3000;1280x720;74.84843
592;4300;1280x720;81.389694
592;5800;1920x1080;95.02987
594;235;416x234;22.503754
594;375;768x432;34.19447
594;560;1280x720;35.577625
594;750;768x432;53.38068
594;1050;768x432;66.03363
594;1750;768x432;73.31744
594;2350;768x432;80.55984
594;3000;960x540;86.65644
594;4300;960x540;91.075455
594;5800;1920x1080;99.42784
596;235;768x432;35.013462
596;375;640x360;46.547047
596;560;768x432;53.151115
596;750;960x540;64.232376
596;1050;960x540;73.67924
596;1750;960x540;80.36305
596;2350;960x540;85.67333
596;3000;1920x1080;89.227974
596;4300;1920x1080;93.41143
596;5800;1920x1080;97.830086
597;235;640x360;28.538929
597;375;640x360;46.851456
597;560;768x432;52.803856
597;750;768x432;61.788555
597;1050;1280x720;72.11206
597;1750;960x540;80.533455
597;2350;960x540;85.73005
597;3000;1920x1080;89.11476
597;4300;1920x1080;93.35338
597;5800;1920x1080;97.62862
603;235;960x540;49.40821
603;375;768x432;63.2196
603;560;768x432;67.196754
603;750;1280x720;76.817764
603;1050;960x540;82.70909
603;1750;1920x1080;87.145546
603;2350;1920x1080;90.31956
603;3000;1920x1080;93.32905
603;4300;1920x1080;93.54383
603;5800;1920x1080;97.62212
605;235;768x432;35.772617
605;375;640x360;53.06258
605;560;768x432;61.712826
605;750;768x432;66.57418
605;1050;1280x720;78.154625
605;1750;960x540;84.9181
605;2350;1920x1080;88.27961
605;3000;1920x1080;92.348366
605;4300;1920x1080;93.5568
605;5800;1920x1080;97.1334
610;235;768x432;35.962948
610;375;640x360;46.991127
610;560;768x432;61.647686
610;750;768x432;66.16987
610;1050;768x432;76.35063
610;1750;1280x720;82.29103
610;2350;1920x1080;88.59813
610;3000;1920x1080;92.41151
610;4300;1920x1080;93.2991
610;5800;1920x1080;97.601295
614;235;768x432;64.55899
614;375;960x540;73.75282
614;560;960x540;77.85653
614;750;1280x720;82.37638
614;1050;1920x1080;90.685745
614;1750;1920x1080;90.93331
614;2350;1920x1080;94.12287
614;3000;1920x1080;94.12287
614;4300;1920x1080;94.12151
614;5800;1920x1080;95.003784
616;235;768x432;34.555172
