,s_video_id,s_width,s_height,s_storage_size,s_duration,s_scan_type,c_content_category,c_si,c_ti,c_scene_change_ffmpeg_ratio30,c_scene_change_ffmpeg_ratio60,c_scene_change_ffmpeg_ratio90,c_scene_change_py_thresh30,c_scene_change_py_thresh50,c_colorhistogram_mean_dark,c_colorhistogram_mean_medium_dark,c_colorhistogram_mean_medium_bright,c_colorhistogram_mean_bright,c_colorhistogram_std_dev_dark,c_colorhistogram_std_dev_medium_dark,c_colorhistogram_std_dev_medium_bright,c_colorhistogram_std_dev_bright,c_colorhistogram_temporal_mean_std_dev_dark,c_colorhistogram_temporal_mean_std_dev_medium_dark,c_colorhistogram_temporal_mean_std_dev_medium_bright,c_colorhistogram_temporal_mean_std_dev_bright,e_crf,e_width,e_height,e_aspect_ratio,e_pixel_aspect_ratio,e_codec,e_codec_profile,e_codec_level,e_framerate,e_gop_size,e_b_frame_int,e_ref_frame_count,e_scan_type,e_bit_depth,e_pixel_fmt,t_average_bitrate,t_average_vmaf
2373,594,1920,1080,5970385,3,0,13,55.8642125,40.1272125,0.0,0.0,0.0,0,0,0.49852318,0.199970984,0.112560684,0.188945152,0.370762725,0.081109309,0.050410155,0.117485591,0.227953731,0.076772486,0.056502956,0.248223261,28,768,432,16:09,1:01,h264,1,30,25.0,50.0,3,1,1,8.0,1,1307,61.600489
2160,589,1920,1080,14244904,9,0,-1,18.35184038,21.38575117,0.0,0.0,0.0,0,0,0.678582337,0.299476595,0.018030639,0.00391043,0.509041231,0.119657483,0.021262914,0.003031383,,,,,30,960,540,16:09,1:01,h264,1,31,25.0,50.0,3,1,1,8.0,1,494,71.800105
1779,565,1920,1080,32088816,24,0,8,54.89797655,19.91498325,0.0,0.0,0.0,0,0,0.075544303,0.153894033,0.423124518,0.347437146,0.109906627,0.042354913,0.069631885,1.105086251,,,,,22,416,234,16:09,1:01,h264,1,13,25.0,50.0,3,1,2,8.0,1,455,37.933659
34,418,1920,1080,12790095,9,0,1,56.10180909,12.59732727,53.33333333,26.66666667,13.33333333,0,0,0.381593364,0.365762281,0.186065619,0.066578736,0.188830391,0.087219526,0.049422253,0.04011756,,,,,28,768,432,16:09,1:01,h264,1,30,25.0,50.0,3,1,1,8.0,1,600,59.144399
1037,514,1920,1080,99164715,72,0,15,40.44138358,24.32587326,0.0,0.0,0.0,0,0,0.188883102,0.254786201,0.34130562,0.215025077,0.43364271,0.093537323,0.046028051,0.073055431,,,,,55,1920,1080,16:09,1:01,h264,0,40,25.0,50.0,3,1,1,8.0,1,326,16.767573
3728,642,1920,1080,36943508,32,0,-1,38.93285095,13.17947357,0.0,0.0,0.0,0,0,0.773308738,0.109934253,0.069156379,0.04760063,0.357759555,0.052258223,0.008513239,0.029862411,,,,,24,640,360,16:09,1:01,h264,1,31,59.963,119.926,3,1,2,8.0,1,829,58.087997
142,419,1920,1080,7512676,6,0,-1,61.14358,8.838213333,30.0,40.0,0.0,0,0,0.450114294,0.409096579,0.081645287,0.05914384,0.237189388,0.147865455,0.075319437,0.027149209,,,,,55,640,360,16:09,1:01,h264,1,30,25.0,50.0,3,1,2,8.0,1,20,0.853403
3255,626,1920,1080,31945504,25,0,-1,27.95929919,18.88836792,0.0,0.0,0.0,0,0,0.315484664,0.286889146,0.256696888,0.140929302,0.197721957,0.051072019,0.029057974,0.09067449,,,,,40,768,432,16:09,1:01,h264,1,30,29.97002997,59.94005994,3,1,1,8.0,1,165,31.903005
381,493,1920,1080,4125568,3,0,0,42.383,22.02557813,0.0,0.0,0.0,0,0,0.206434917,0.151555802,0.193191176,0.448818105,0.141978176,0.036750422,0.111064508,0.417493161,0.205495758,0.075496109,0.045113385,0.325269668,45,1280,720,16:09,1:01,h264,1,31,25.0,50.0,3,1,0,8.0,1,229,22.32474
1184,516,1920,1080,99183366,72,0,15,41.70558124,24.20970128,0.0,0.0,0.0,0,0,0.189167149,0.247339892,0.345484825,0.218008134,0.437336606,0.095335284,0.055388049,0.072541136,,,,,55,640,360,16:09,1:01,h264,1,30,25.0,50.0,3,1,2,8.0,1,40,3.121928
965,513,1920,1080,25387349,18,0,-1,43.69153289,22.62212939,0.0,0.0,0.0,0,0,0.438652424,0.367373007,0.176922422,0.017052148,0.663963931,0.038395557,0.173409526,0.02723059,,,,,55,1280,720,16:09,1:01,h264,1,31,25.0,50.0,3,1,0,8.0,1,135,3.981716
3603,640,1920,1080,96251581,76,0,-1,28.82063916,19.5669223,0.0,0.0,0.0,0,0,0.293952868,0.281984793,0.337994309,0.08606803,0.198002358,0.065723021,0.051110246,0.095574121,,,,,30,768,432,16:09,1:01,h264,1,30,29.97002997,59.94005994,3,1,1,8.0,1,402,61.269896
3659,641,1920,1080,16206082,13,0,-1,98.10453299,25.10008538,0.0,0.0,0.0,0,0,0.283849987,0.307036876,0.258704025,0.150409111,0.14969801,0.022830094,0.071207234,0.05404967,,,,,26,1280,720,16:09,1:01,h264,1,32,59.963,119.926,3,1,0,8.0,1,4317,76.299812
1276,521,1920,1080,43730001,32,0,18,64.25003379,30.10134793,0.0,0.0,0.0,0,0,0.197032697,0.346784658,0.346546103,0.109636542,0.065885467,0.048832374,0.057065935,0.073446061,,,,,22,768,432,16:09,1:01,h264,1,30,25.0,50.0,3,1,1,8.0,1,1711,73.554248
1612,559,1920,1080,30290080,21,0,5,55.70496565,30.56634924,0.0,0.0,0.0,0,0,0.380048868,0.3654665,0.160475502,0.094009131,0.335982391,0.176803437,0.009822356,0.067456667,,,,,50,416,234,16:09,1:01,h264,1,13,25.0,50.0,3,1,2,8.0,1,30,0.596076
