s_video_id,s_width,s_height,s_storage_size,s_duration,s_scan_type,c_content_category,c_si,c_ti,c_scene_change_ffmpeg_ratio30,c_scene_change_ffmpeg_ratio60,c_scene_change_ffmpeg_ratio90,c_scene_change_py_thresh30,c_scene_change_py_thresh50,c_colorhistogram_mean_dark,c_colorhistogram_mean_medium_dark,c_colorhistogram_mean_medium_bright,c_colorhistogram_mean_bright,c_colorhistogram_std_dev_dark,c_colorhistogram_std_dev_medium_dark,c_colorhistogram_std_dev_medium_bright,c_colorhistogram_std_dev_bright,c_colorhistogram_temporal_mean_std_dev_dark,c_colorhistogram_temporal_mean_std_dev_medium_dark,c_colorhistogram_temporal_mean_std_dev_medium_bright,c_colorhistogram_temporal_mean_std_dev_bright,e_crf,e_width,e_height,e_aspect_ratio,e_pixel_aspect_ratio,e_codec,e_codec_profile,e_codec_level,e_framerate,e_gop_size,e_b_frame_int,e_ref_frame_count,e_scan_type,e_bit_depth,e_pixel_fmt,t_average_bitrate,t_average_vmaf,t_average_vmaf_mobile,t_average_vmaf_4k,t_average_psnr
418,1920,1080,12790095,9,progressive,ballplayer,56.10180909,12.59732727,53.33333333,26.66666667,13.33333333,0,0,0.381593364,0.365762281,0.186065619,0.066578736,0.188830391,0.087219526,0.049422253,0.04011756,,,,,28,1280,720,16:09,1:01,h264,main,31,25,50,3,1,interlaced,8,yuv420p,1380,77.842421,,,
418,1920,1080,12790095,9,progressive,ballplayer,56.10180909,12.59732727,53.33333333,26.66666667,13.33333333,0,0,0.381593364,0.365762281,0.186065619,0.066578736,0.188830391,0.087219526,0.049422253,0.04011756,,,,,28,640,360,16:09,1:01,h264,main,30,25,50,3,1,unknown,8,yuv420p,462,49.581856,,,
418,1920,1080,12790095,9,progressive,ballplayer,56.10180909,12.59732727,53.33333333,26.66666667,13.33333333,0,0,0.381593364,0.365762281,0.186065619,0.066578736,0.188830391,0.087219526,0.049422253,0.04011756,,,,,28,960,540,16:09,1:01,h264,main,31,25,50,3,1,progressive,8,yuv420p,882,68.8926,,,
418,1920,1080,12790095,9,progressive,ballplayer,56.10180909,12.59732727,53.33333333,26.66666667,13.33333333,0,0,0.381593364,0.365762281,0.186065619,0.066578736,0.188830391,0.087219526,0.049422253,0.04011756,,,,,28,768,432,16:09,1:01,h264,main,30,25,50,3,1,progressive,8,yuv420p,600,59.144399,,,
418,1920,1080,12790095,9,progressive,ballplayer,56.10180909,12.59732727,53.33333333,26.66666667,13.33333333,0,0,0.381593364,0.365762281,0.186065619,0.066578736,0.188830391,0.087219526,0.049422253,0.04011756,,,,,28,416,234,16:09,1:01,h264,main,13,25,50,3,1,unknown,8,yuv420p,231,23.225649,,,
418,1920,1080,12790095,9,progressive,ballplayer,56.10180909,12.59732727,53.33333333,26.66666667,13.33333333,0,0,0.381593364,0.365762281,0.186065619,0.066578736,0.188830391,0.087219526,0.049422253,0.04011756,,,,,30,1920,1080,16:09,1:01,h264,high,40,25,50,3,1,progressive,8,yuv420p,2198,84.828129,,,
418,1920,1080,12790095,9,progressive,ballplayer,56.10180909,12.59732727,53.33333333,26.66666667,13.33333333,0,0,0.381593364,0.365762281,0.186065619,0.066578736,0.188830391,0.087219526,0.049422253,0.04011756,,,,,30,1280,720,16:09,1:01,h264,main,31,25,50,3,1,interlaced,8,yuv420p,1072,72.866171,,,
418,1920,1080,12790095,9,progressive,ballplayer,56.10180909,12.59732727,53.33333333,26.66666667,13.33333333,0,0,0.381593364,0.365762281,0.186065619,0.066578736,0.188830391,0.087219526,0.049422253,0.04011756,,,,,30,960,540,16:09,1:01,h264,main,31,25,50,3,1,progressive,8,yuv420p,686,63.312082,,,
418,1920,1080,12790095,9,progressive,ballplayer,56.10180909,12.59732727,53.33333333,26.66666667,13.33333333,0,0,0.381593364,0.365762281,0.186065619,0.066578736,0.188830391,0.087219526,0.049422253,0.04011756,,,,,30,640,360,16:09,1:01,h264,main,30,25,50,3,1,unknown,8,yuv420p,358,44.078939,,,
418,1920,1080,12790095,9,progressive,ballplayer,56.10180909,12.59732727,53.33333333,26.66666667,13.33333333,0,0,0.381593364,0.365762281,0.186065619,0.066578736,0.188830391,0.087219526,0.049422253,0.04011756,,,,,30,768,432,16:09,1:01,h264,main,30,25,50,3,1,progressive,8,yuv420p,466,53.444994,,,
